artist_count,released_year,streams,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_encoded,mode_encoded
2,2023,141381703,553,147,43,263,45,125,80,89,83,31,0,8,4,3,0
1,2023,133716286,1474,48,48,126,58,92,71,61,74,7,0,10,4,4,0
1,2023,140003974,1397,113,94,207,91,138,51,32,53,17,0,31,6,8,0
1,2019,800840817,7858,100,116,207,125,170,55,58,72,11,0,11,15,1,0
1,2023,303236322,3133,50,84,133,87,144,65,23,80,14,63,11,6,1,1
2,2023,183706234,2186,91,67,213,88,141,92,66,58,19,0,8,24,4,0
2,2023,725980112,3090,50,34,222,43,148,67,83,76,48,0,8,3,8,1
1,2023,58149378,714,43,25,89,30,100,67,26,71,37,0,11,4,8,0
1,2023,95217315,1096,83,60,210,48,130,85,22,62,12,0,28,9,4,1
2,2023,553634067,2953,44,49,110,66,170,81,56,48,21,0,8,33,5,1
2,2023,505671438,2876,40,41,205,54,83,57,56,72,23,0,27,5,9,1
1,2023,58255150,422,55,37,202,21,150,78,52,82,18,0,15,7,8,1
1,2023,1316855716,12211,115,300,215,745,118,71,65,68,6,0,3,7,0,0
1,2023,387570742,3528,98,80,156,182,130,51,32,43,83,0,9,3,5,1
1,2022,2513188493,23575,130,403,198,863,174,52,66,73,34,0,31,6,9,1
1,2022,1163093654,8109,77,183,162,161,89,64,43,73,5,17,16,4,11,0
1,2023,496795686,2942,77,91,212,78,120,78,76,59,43,0,34,3,3,1
1,2023,30546883,873,104,80,227,95,78,44,14,9,96,0,10,3,0,0
2,2023,335222234,2610,40,43,100,54,100,86,67,66,14,0,12,16,3,0
1,2023,363369738,596,68,8,104,23,120,63,36,73,0,0,36,4,10,0
3,2023,86444842,332,26,11,163,10,140,65,87,74,22,0,42,4,8,1
1,2023,52135248,516,38,73,119,42,123,69,82,76,6,0,6,3,9,0
1,2013,1297026226,12859,110,24,98,582,135,48,44,42,12,2,11,3,0,1
2,2023,200647221,1313,40,17,152,32,133,85,81,67,26,0,12,5,8,1
